Week,china,putin,iran,refugee,syria
2013-12-22 - 2013-12-28,45,2,6,0,3
2013-12-29 - 2014-01-04,47,2,6,1,3
2014-01-05 - 2014-01-11,47,1,6,1,3
2014-01-12 - 2014-01-18,47,1,7,1,3
2014-01-19 - 2014-01-25,47,2,6,1,4
2014-01-26 - 2014-02-01,46,2,6,1,3
2014-02-02 - 2014-02-08,44,7,7,1,3
2014-02-09 - 2014-02-15,46,5,7,1,3
2014-02-16 - 2014-02-22,47,4,6,1,3
2014-02-23 - 2014-03-01,49,5,6,1,3
2014-03-02 - 2014-03-08,52,16,6,1,3
2014-03-09 - 2014-03-15,51,6,6,1,3
2014-03-16 - 2014-03-22,48,10,7,1,3
